,year,date,lake_id,taxon,counted_dem?,dem,infect,count,eggs,counted_all?,fewer_10_hosts?,other_inf_sp,notes,parasite,parasite2,demography
204,2021,10/12/21,Catfish,dla,yes,A,U,1,4,yes,yes,NA,NA,uninfected,,adult
205,2021,10/12/21,Catfish,dla,yes,J,U,3,NA,yes,yes,NA,NA,uninfected,,juvenile
206,2021,11/2/21,Catfish,dla,yes,A,U,11,44,yes,no,NA,NA,uninfected,,adult
207,2021,11/2/21,Catfish,dla,yes,J,U,15,NA,yes,no,NA,NA,uninfected,,juvenile
208,2021,11/22/21,Catfish,dia,no,NA,U,14,NA,no,no,NA,NA,uninfected,,check
209,2021,11/22/21,Catfish,dla,yes,A,U,55,318,no,no,NA,NA,uninfected,,adult
210,2021,11/22/21,Catfish,dla,yes,J,U,278,NA,no,no,NA,NA,uninfected,,juvenile
211,2021,11/22/21,Catfish,sim,yes,A,U,1,0,no,no,NA,NA,uninfected,,adult
212,2021,11/22/21,Catfish,sim,yes,A,L,1,0,no,no,NA,NA,larssonia,,adult
213,2021,11/22/21,Catfish,sim,yes,J,U,2,NA,no,no,NA,NA,uninfected,,juvenile
214,2021,12/14/21,Catfish,dla,yes,A,U,65,243,no,no,NA,NA,uninfected,,adult
215,2021,12/14/21,Catfish,dla,yes,J,U,297,NA,no,no,NA,NA,uninfected,,juvenile
216,2022,1/5/22,Catfish,dla,yes,A,L,1,0,no,no,NA,upper heart infection,larssonia,,adult
217,2022,1/5/22,Catfish,dla,yes,A,U,129,130,no,no,NA,NA,uninfected,,adult
218,2022,1/5/22,Catfish,dla,yes,J,U,255,NA,no,no,NA,NA,uninfected,,juvenile
219,2022,1/27/22,Catfish,dla,yes,A,U,99,25,no,no,NA,NA,uninfected,,adult
220,2022,1/27/22,Catfish,dla,yes,E,U,5,NA,no,no,NA,NA,uninfected,,ephippial
221,2022,1/27/22,Catfish,dla,yes,J,U,311,NA,no,no,NA,NA,uninfected,,juvenile
222,2022,1/27/22,Catfish,dla,yes,M,U,2,NA,no,no,NA,NA,uninfected,,male
